Item/User, 4169, 5755, 5054, 5329, 1015, 1448, 1912, 4948, 2050, 1224, 4932, 4790, 5878, 752, 5371, 2544, 131, 4956, 62, 1128, 3430, 3371, 1693, 2275, 4482, 4452, 2787, 2589, 3504, 1758, 6040, 5038, 1203, 5, 1712, 3821, 3705, 5066, 1285, 850, 3475, 2018, 4078, 2870, 3206, 4995, 5858, 1869, 4506, 1335, 2752, 3224, 5074, 2872, 5939, 4839, 5335, 2986, 4824, 4907, 4898, 2211, 3380, 3042, 1698, 319, 1602, 1137, 3420, 3249, 3137, 677, 1268, 1211, 150, 3413, 2237, 5220, 1457, 3053, 4322, 197, 2860, 960, 5653, 4941, 2630, 3531, 656, 5317, 2507, 2764, 5643, 5529, 824, 2124, 3067, 2314, 4647, 3177, 5428
i3529, 2.0, , , , 3.0, 3.0, , , , , , , , , , , , , 3.0, 2.0, , 3.0, , , , , , , , , , , , , , , 4.0, , 4.0, 4.0, , , , , , , , , 4.0, 2.0, 4.0, 4.0, 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.0, , , 3.0, , , 5.0, , 
i2, 3.0, , 3.0, , 3.0, 4.0, , , , , , , , , , , , , 4.0, , , , 2.0, , 1.0, , , , , , , , 3.0, , , 2.0, , , , , , , , , , , , , , , , 3.0, 2.0, , , , , , 3.0, , , , , , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , , , 3.0, , , 3.0, 2.0, , , , 
i3, 2.0, , , , , , , , 3.0, , , , , 2.0, , 2.0, , , 3.0, , , , , , , , , , , , , , , , 3.0, , , , , , 2.0, , , , , , , , , , , 4.0, , , , , , , , , , , , , , 1.0, , , , , , , , , , , 3.0, , , , , , , , , , , , , , , , 2.0, , , , 4.0, , , , 
i4, 3.0, , , , , 5.0, , , , , , , , 3.0, , , , , , , , , , , , , , , 4.0, , , , 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.0, 2.0, , , , , , , , 2.0, , 4.0
i5, 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , , 3.0, , , , , , , , , , , , , , , , , , , , , , , , 
i6, 4.0, 4.0, , , , 2.0, 4.0, , , 5.0, , , , 2.0, 2.0, , , , 3.0, , , , , , 4.0, , , , , , , , , 2.0, , 3.0, , , 5.0, , 5.0, , , , , 3.0, , , 4.0, , , 4.0, 4.0, 4.0, , , , 3.0, , , 3.0, , , , 3.0, 4.0, , 4.0, , , , , , , , , , 3.0, , , , , 4.0, 5.0, , , , , , 2.0, 4.0, , 4.0, , , , 4.0, , 5.0, , 5.0
i7, 4.0, 1.0, 3.0, , 2.0, 3.0, , , , , , , 3.0, , , , , , 3.0, , , , , , , , , , , , , , 3.0, , , , , , 4.0, , 3.0, , , , , , , , , , , 3.0, , , , , , 3.0, , , , , , , , 3.0, , , , , , , , , , , 3.0, , , , 4.0, , , , , , , , , 1.0, , , 3.0, , , , , , , , 
i3537, 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
i10, 4.0, , 3.0, , , , 3.0, , , , , , , 1.0, , , , , , , , , , , , , , , 3.0, , , , , , , , , , 2.0, , , , , , , , , , , , , 3.0, 1.0, , , , , , , , , , , , 2.0, , , , , , , , , , , , , , , , , , , 4.0, , , , , , , , , 2.0, , , , , , , , 4.0
i11, 4.0, 3.0, 3.0, 4.0, 1.0, 4.0, 2.0, , , 4.0, , , , 1.0, , , 2.0, , 4.0, , , 4.0, , , 3.0, , , , , , , , 4.0, , 5.0, , , , 4.0, , 4.0, 4.0, , , , , , , , , , 5.0, 3.0, 3.0, , , , 4.0, 3.0, , , , , , 4.0, 4.0, , , 5.0, , , , , 3.0, , , 4.0, 4.0, , , 3.0, , , , 4.0, , , , , 4.0, , , 4.0, , , , 3.0, , , , 4.0
i12, 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
i3542, 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
i14, 3.0, 3.0, 4.0, , , 4.0, 3.0, , , , , , , , , , , , , 4.0, 4.0, , , , , , , , , , , , 4.0, , , , , , 4.0, , , 4.0, , , , , , , , , , , , , , , , , , , , , , , 4.0, 5.0, , , , , , , , , , , , , , , , , 4.0, , , , , , , , , , , , 3.0, , , , 4.0, , 
i15, 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
